-0.430000
-0.420000
-0.415000
-0.430000
-0.445000
-0.425000
-0.415000
-0.400000
-0.410000
-0.415000
-0.435000
-0.420000
-0.410000
-0.395000
-0.400000
-0.400000
-0.430000
-0.435000
-0.405000
-0.385000
-0.385000
-0.390000
-0.410000
-0.415000
-0.390000
-0.375000
-0.385000
-0.390000
-0.405000
-0.405000
-0.400000
-0.395000
-0.400000
-0.400000
-0.420000
-0.415000
-0.405000
-0.390000
-0.390000
-0.400000
-0.410000
-0.410000
-0.400000
-0.390000
-0.395000
-0.415000
-0.420000
-0.410000
-0.395000
-0.390000
-0.395000
-0.400000
-0.400000
-0.410000
-0.390000
-0.375000
-0.395000
-0.405000
-0.420000
-0.410000
-0.400000
-0.385000
-0.370000
-0.390000
-0.405000
-0.405000
-0.380000
-0.370000
-0.370000
-0.390000
-0.400000
-0.415000
-0.400000
-0.370000
-0.375000
-0.380000
-0.415000
-0.390000
-0.385000
-0.375000
-0.365000
-0.385000
-0.390000
-0.385000
-0.370000
-0.360000
-0.380000
-0.375000
-0.385000
-0.385000
-0.385000
-0.370000
-0.370000
-0.375000
-0.390000
-0.375000
-0.365000
-0.340000
-0.350000
-0.345000
-0.345000
-0.340000
-0.310000
-0.295000
-0.295000
-0.295000
-0.315000
-0.320000
-0.305000
-0.260000
-0.265000
-0.285000
-0.290000
-0.305000
-0.290000
-0.280000
-0.275000
-0.280000
-0.300000
-0.300000
-0.310000
-0.310000
-0.320000
-0.340000
-0.365000
-0.355000
-0.355000
-0.355000
-0.360000
-0.365000
-0.370000
-0.380000
-0.350000
-0.345000
-0.360000
-0.355000
-0.385000
-0.365000
-0.345000
-0.335000
-0.330000
-0.340000
-0.340000
-0.345000
-0.315000
-0.300000
-0.310000
-0.310000
-0.335000
-0.335000
-0.325000
-0.330000
-0.365000
-0.400000
-0.445000
-0.470000
-0.445000
-0.410000
-0.305000
-0.170000
0.060000
0.395000
0.770000
1.135000
1.450000
1.690000
1.845000
1.910000
1.820000
1.515000
0.875000
0.235000
-0.405000
-0.665000
-0.585000
-0.475000
-0.460000
-0.485000
-0.505000
-0.495000
-0.470000
-0.445000
-0.415000
-0.370000
-0.345000
-0.305000
-0.270000
-0.255000
-0.245000
-0.255000
-0.260000
-0.270000
-0.255000
-0.245000
-0.250000
-0.260000
-0.265000
-0.265000
-0.230000
-0.230000
-0.225000
-0.235000
-0.250000
-0.235000
-0.225000
-0.215000
-0.215000
-0.215000
-0.240000
-0.220000
-0.210000
-0.190000
-0.200000
-0.200000
-0.230000
-0.225000
-0.205000
-0.185000
-0.200000
-0.200000
-0.195000
-0.200000
-0.185000
-0.170000
-0.170000
-0.180000
-0.200000
-0.200000
-0.180000
-0.150000
-0.155000
-0.155000
-0.170000
-0.170000
-0.170000
-0.120000
-0.125000
-0.135000
-0.145000
-0.135000
-0.120000
-0.105000
-0.115000
-0.110000
-0.115000
-0.105000
-0.085000
-0.070000
-0.065000
-0.075000
-0.070000
-0.070000
-0.045000
-0.025000
-0.020000
-0.010000
-0.015000
0.005000
0.030000
0.055000
0.060000
0.045000
0.040000
0.060000
0.095000
0.130000
0.145000
0.140000
0.145000
0.140000
0.180000
0.210000
0.225000
0.250000
0.255000
0.275000
0.300000
0.345000
0.375000
0.385000
0.395000
0.415000
0.460000
0.495000
0.515000
0.510000
0.525000
0.545000
0.575000
0.615000
0.625000
0.615000
0.635000
0.645000
0.685000
0.720000
0.735000
0.730000
0.725000
0.725000
0.740000
0.755000
0.735000
0.705000
0.650000
0.595000
0.565000
0.535000
0.485000
0.425000
0.365000
0.305000
0.250000
0.215000
0.160000
0.090000
0.035000
-0.025000
-0.055000
-0.080000
-0.110000
-0.170000
-0.195000
-0.235000
-0.260000
-0.250000
-0.260000
-0.280000
-0.305000
-0.320000
-0.325000
-0.325000
-0.330000
-0.350000
-0.370000
-0.370000
-0.360000
-0.340000
-0.360000
-0.370000
-0.390000
-0.400000
-0.380000
-0.365000
-0.370000
-0.380000
-0.390000
-0.400000
-0.390000
-0.385000
-0.365000
-0.385000
-0.395000
-0.400000
-0.380000
-0.360000
-0.370000
-0.370000
-0.390000
-0.385000
-0.375000
-0.360000
