-0.485000
-0.490000
-0.505000
-0.505000
-0.510000
-0.510000
-0.500000
-0.495000
-0.510000
-0.500000
-0.500000
-0.485000
-0.485000
-0.505000
-0.510000
-0.505000
-0.505000
-0.505000
-0.490000
-0.505000
-0.525000
-0.535000
-0.545000
-0.540000
-0.520000
-0.515000
-0.490000
-0.480000
-0.475000
-0.460000
-0.450000
-0.465000
-0.480000
-0.485000
-0.490000
-0.490000
-0.465000
-0.455000
-0.465000
-0.465000
-0.475000
-0.455000
-0.445000
-0.460000
-0.465000
-0.480000
-0.485000
-0.485000
-0.465000
-0.475000
-0.485000
-0.505000
-0.520000
-0.520000
-0.505000
-0.510000
-0.505000
-0.515000
-0.515000
-0.495000
-0.470000
-0.480000
-0.505000
-0.520000
-0.540000
-0.555000
-0.565000
-0.580000
-0.595000
-0.605000
-0.610000
-0.605000
-0.600000
-0.605000
-0.615000
-0.605000
-0.605000
-0.585000
-0.570000
-0.585000
-0.585000
-0.595000
-0.590000
-0.575000
-0.575000
-0.585000
-0.620000
-0.645000
-0.675000
-0.650000
-0.590000
-0.480000
-0.330000
-0.105000
0.185000
0.520000
0.795000
0.910000
0.820000
0.575000
0.205000
-0.255000
-0.710000
-1.005000
-1.090000
-1.060000
-1.005000
-0.925000
-0.820000
-0.735000
-0.690000
-0.690000
-0.680000
-0.660000
-0.625000
-0.600000
-0.605000
-0.615000
-0.620000
-0.605000
-0.580000
-0.580000
-0.595000
-0.595000
-0.595000
-0.580000
-0.560000
-0.550000
-0.570000
-0.575000
-0.575000
-0.550000
-0.535000
-0.530000
-0.540000
-0.540000
-0.545000
-0.530000
-0.515000
-0.515000
-0.515000
-0.515000
-0.515000
-0.485000
-0.465000
-0.470000
-0.480000
-0.495000
-0.490000
-0.445000
-0.420000
-0.425000
-0.420000
-0.405000
-0.395000
-0.370000
-0.330000
-0.305000
-0.305000
-0.315000
-0.300000
-0.250000
-0.220000
-0.210000
-0.225000
-0.225000
-0.220000
-0.215000
-0.185000
-0.180000
-0.175000
-0.195000
-0.190000
-0.175000
-0.170000
-0.165000
-0.180000
-0.200000
-0.215000
-0.210000
-0.200000
-0.215000
-0.230000
-0.250000
-0.265000
-0.290000
-0.280000
-0.305000
-0.330000
-0.340000
-0.360000
-0.365000
-0.360000
-0.380000
-0.395000
-0.420000
-0.410000
-0.400000
-0.415000
-0.415000
-0.440000
-0.430000
-0.435000
-0.420000
-0.420000
-0.425000
-0.435000
-0.445000
-0.450000
-0.435000
-0.430000
-0.415000
-0.435000
-0.440000
-0.445000
-0.420000
-0.415000
-0.420000
